Player,Nationality,Region,Import,Team,Position,Adjusted Laning,Adjusted Vision,Adjusted Carry Score,Adjusted Versatility,Adjusted Threat,Experience
Dread,South Korea,LCK,T,Afreeca Freecs,JG,89,71,83,83,,
Dreams,South Korea,LCS,T,FlyQuest,SUP,54,75,59,86,,
DuDu,South Korea,LCK,T,Hanwha Life Esports,TOP,69,65,75,77,,
Effort,South Korea,LCK,T,Liiv SANDBOX,SUP,66,99,97,77,,
Elyoya,Spain,LEC,T,MAD Lions,JG,74,64,79,81,,
FakeGod,USA,LCS,F,Dignitas,TOP,68,60,59,87,,
Faker,South Korea,LCK,T,T1,MID,89,69,71,90,,
FATE,South Korea,LCK,T,Liiv SANDBOX,MID,88,66,82,89,,
FBI,Australia,LCS,F,100 Thieves,ADC,74,61,68,83,,
Finn,Sweden,LCS,T,Counter Logic Gaming,TOP,66,58,81,81,,
Fly,South Korea,LCK,T,Afreeca Freecs,MID,78,65,68,87,,
Fudge,Australia,LCS,F,Cloud9,TOP,72,57,77,83,,
Ghost,South Korea,LCK,T,DWG KIA,ADC,75,74,68,79,,
Gori,South Korea,LCK,T,Nongshim RedForce,MID,63,65,80,87,,
Gumayusi,South Korea,LCK,T,T1,ADC,83,74,81,79,,
Hans sama,France,LEC,T,Rogue,ADC,97,70,76,79,,
Harp,South Korea,LCK,T,KT Rolster,SUP,88,88,75,81,,
Hena,South Korea,LCK,T,Fredit BRION,ADC,80,77,74,75,,
HiRit,South Korea,LEC,T,Misfits Gaming,TOP,78,61,84,81,,
Hoya,South Korea,LCK,T,Fredit BRION,TOP,63,65,76,81,,
huhi,South Korea,LCS,F,100 Thieves,SUP,90,83,75,85,,
Humanoid,Czechia,LEC,T,MAD Lions,MID,92,61,80,81,,
Huni,South Korea,LCS,F,TSM,TOP,78,58,78,87,,
Hylissang,Bulgaria,LEC,T,Fnatic,SUP,77,88,76,79,,
Iconic,USA,LCS,F,Golden Guardians,JG,68,57,72,83,,
IgNar,South Korea,LCS,T,Evil Geniuses,SUP,80,84,76,83,,
Impact,South Korea,LCS,F,Evil Geniuses,TOP,84,58,69,87,,
Insanity,USA,LCS,F,Immortals,MID,70,59,72,92,,
Inspired,Poland,LEC,T,Rogue,JG,84,65,76,81,,
Jankos,Poland,LEC,T,G2 Esports,JG,77,65,82,75,,
Jenax,Germany,LEC,T,SK Gaming,TOP,76,63,74,89,,
Jenkins,USA,LCS,F,Team Liquid,TOP,72,59,65,79,,
Jensen,Denmark,LCS,F,Team Liquid,MID,79,56,78,87,,
Jeskla,Sweden,LEC,T,Astralis,ADC,58,69,63,82,,
Jett,South Korea,LCK,T,DRX,MID,79,60,71,71,,
Jezu,France,LEC,T,SK Gaming,ADC,72,64,73,78,,
Jiizuke,Italy,LCS,T,Evil Geniuses,MID,83,59,82,87,,
Johnsun,USA,LCS,F,FlyQuest,ADC,81,68,72,74,,
Josedeodo,Argentina,LCS,T,FlyQuest,JG,66,63,78,87,,
Jun,South Korea,LCK,T,DRX,SUP,82,94,89,77,,
Kaiser,Germany,LEC,T,MAD Lions,SUP,86,92,85,75,,
Kellin,South Korea,LCK,T,Nongshim RedForce,SUP,75,97,94,81,,
Keria,South Korea,LCK,T,T1,SUP,84,97,94,81,,
Khan,South Korea,LCK,T,DWG KIA,TOP,79,64,85,90,,
Kiin,South Korea,LCK,T,Afreeca Freecs,TOP,92,66,89,89,,
Kingen,South Korea,LCK,T,DRX,TOP,74,64,77,90,,
Kirei,Netherlands,LEC,T,FC Schalke 04 Esports,JG,58,65,75,87,,
Kobbe,Denmark,LEC,T,Misfits Gaming,ADC,69,68,63,77,,
Kryze,Sweden,LEC,T,Excel Esports,TOP,77,60,67,87,,
Kumo,USA,LCS,F,FlyQuest,TOP,54,58,63,85,,
Labrov,Greece,LEC,T,Team Vitality,SUP,77,86,78,77,,
Larssen,Sweden,LEC,T,Rogue,MID,90,58,90,83,,
Lava,South Korea,LCK,T,Fredit BRION,MID,85,67,92,83,,
Lehends,South Korea,LCK,T,Afreeca Freecs,SUP,83,94,90,81,,
Leo,South Korea,LCK,T,Afreeca Freecs,ADC,79,80,95,77,,
Licorice,Canada,LCS,F,Golden Guardians,TOP,68,59,79,81,,
LIDER,Norway,LEC,T,Team Vitality,MID,87,60,90,75,,
Life,South Korea,LCK,T,Gen.G,SUP,77,94,86,87,,
Lilipp,Germany,LEC,T,SK Gaming,SUP,71,92,80,78,,
LIMIT,Croatia,LEC,T,FC Schalke 04 Esports,SUP,77,93,91,87,,
Lost,New Zealand,LCS,F,TSM,ADC,71,61,61,85,,
MagiFelix,Sweden,LEC,T,Astralis,MID,67,60,89,78,,
Malrang,South Korea,LCK,T,DWG KIA,JG,68,67,91,76,,
Markoon,Netherlands,LEC,T,Excel Esports,JG,74,64,77,75,,
Mikyx,Slovenia,LEC,T,G2 Esports,SUP,76,97,93,79,,
Morgan,South Korea,LCK,T,Hanwha Life Esports,TOP,76,64,69,85,,
Neo,Vietnam,LCS,F,Dignitas,ADC,73,62,80,81,,
Neon,Slovakia,LEC,T,FC Schalke 04 Esports,ADC,70,64,74,84,,
Nisqy,Belgium,LEC,T,Fnatic,MID,83,63,82,79,,
Noah,South Korea,LCK,T,KT Rolster,ADC,71,71,70,81,,
NUCLEARINT,France,LEC,T,FC Schalke 04 Esports,MID,72,59,88,89,,
nukeduck,Norway,LEC,T,Excel Esports,MID,81,60,94,80,,
Odoamne,Romania,LEC,T,Rogue,TOP,85,62,69,81,,
Oner,South Korea,LCK,T,T1,JG,83,70,81,73,,
Palafox,USA,LCS,F,FlyQuest,MID,61,59,70,87,,
Patrik,Czechia,LEC,T,Excel Esports,ADC,76,71,85,80,,
Peanut,South Korea,LCK,T,Nongshim RedForce,JG,81,72,86,87,,
Perkz,Croatia,LCS,T,Cloud9,MID,86,60,75,96,,
Pobelter,USA,LCS,F,Counter Logic Gaming,MID,70,58,69,84,,
PowerOfEvil,Germany,LCS,T,TSM,MID,67,59,74,83,,
Prince,South Korea,LCK,T,Liiv SANDBOX,ADC,80,74,86,77,,
promisq,Sweden,LEC,T,Astralis,SUP,72,85,73,76,,
Pyosik,South Korea,LCK,T,DRX,JG,78,70,99,81,,
Raes,New Zealand,LCS,F,Immortals,ADC,69,63,84,81,,
Rascal,South Korea,LCK,T,Gen.G,TOP,83,66,94,79,,
Razork,Spain,LEC,T,Misfits Gaming,JG,88,68,84,73,,
Rekkles,Sweden,LEC,T,G2 Esports,ADC,80,80,95,77,,
Revenge,USA,LCS,F,Immortals,TOP,68,58,74,85,,
Rich,South Korea,LCK,T,Nongshim RedForce,TOP,68,65,82,85,,
Ruler,South Korea,LCK,T,Gen.G,ADC,79,79,99,77,,
Santorin,Denmark,LCS,F,Team Liquid,JG,74,64,71,75,,
Selfmade,Poland,LEC,T,Team Vitality,JG,97,64,93,75,,
ShowMaker,South Korea,LCK,T,DWG KIA,MID,83,69,83,96,,
Smoothie,Canada,LCS,F,Counter Logic Gaming,SUP,61,87,85,75,,
SOLKA,South Korea,LCK,T,DRX,MID,73,67,64,83,,
Solo,USA,LCS,F,Golden Guardians,TOP,69,60,59,79,,
Spica,USA,LCS,F,TSM,JG,74,59,82,85,,
Ssumday,South Korea,LCS,F,100 Thieves,TOP,74,59,71,83,,
Stixxay,USA,LCS,F,Golden Guardians,ADC,72,60,71,83,,
Summit,South Korea,LCK,T,Liiv SANDBOX,TOP,83,65,94,85,,
Svenskeren,Denmark,LCS,F,Evil Geniuses,JG,75,60,68,77,,
SwordArt,Taiwan,LCS,F,TSM,SUP,72,81,72,85,,
Tactical,USA,LCS,F,Team Liquid,ADC,75,61,90,83,,
Taeyoon,South Korea,LCK,T,DRX,ADC,77,74,81,75,,
Teddy,South Korea,LCK,T,T1,ADC,82,80,82,73,,
Tomo,USA,LCS,F,FlyQuest,ADC,72,59,72,91,,
Treatz,Sweden,LEC,T,SK Gaming,JG,73,63,80,87,,
Trymbi,Poland,LEC,T,Rogue,SUP,80,88,78,81,,
UmTi,South Korea,LCK,T,Fredit BRION,JG,85,73,82,81,,
Upset,Germany,LEC,T,Fnatic,ADC,91,72,83,79,,
Vander,Poland,LEC,T,Misfits Gaming,SUP,81,91,83,77,,
Vetheo,France,LEC,T,Misfits Gaming,MID,78,61,92,77,,
Vsta,South Korea,LCK,T,Hanwha Life Esports,SUP,75,95,89,85,,
Vulcan,Canada,LCS,F,Cloud9,SUP,80,84,80,83,,
WhiteKnight,Finland,LEC,T,Astralis,TOP,72,62,90,73,,
WildTurtle,Canada,LCS,F,Counter Logic Gaming,ADC,70,64,82,81,,
Willer,South Korea,LCK,T,Hanwha Life Esports,JG,75,70,82,75,,
Wunder,Denmark,LEC,T,G2 Esports,TOP,73,62,70,85,,
Xerxe,Romania,LCS,T,Immortals,JG,72,61,73,85,,
yoHan,South Korea,LCK,T,Hanwha Life Esports,JG,75,63,96,75,,
Yusui,USA,LCS,F,Dignitas,MID,61,58,75,87,,
Zanzarah,Russia,LEC,T,Astralis,JG,60,66,75,78,,
Zven,Denmark,LCS,T,Cloud9,ADC,78,62,70,77,,
Zzus,South Korea,LCK,T,KT Rolster,SUP,69,93,82,78,,
